RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
2,Baylor,B12,30,26,114.5,88.4,0.9513,49.4,45.2,17.8,22.7,35.8,29.8,30.8,30.8,47.5,44.4,35.1,31.1,66.2,8.5
3,Gonzaga,WCC,33,31,121.3,94.3,0.9472,57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,57.4,47.4,38.6,32,72,7.7
4,Dayton,A10,31,29,119.5,93.4,0.9445,59.7,46.6,18,18.8,26.4,26.6,33.9,30.9,62.3,45.1,37.1,33,67.5,6.8
5,Michigan St.,B10,31,22,114.8,91.3,0.9326,52.6,43.3,18.1,15.8,32.8,26,30.8,29.3,52.9,43.4,34.8,28.7,69.3,5.2
6,Duke,ACC,31,25,115.3,91.9,0.931,52.6,45.7,17.8,20.2,34.8,28,35.6,30.9,52.5,46,35.2,29.9,71.7,5.1
7,Creighton,BE,30,24,120.6,96.4,0.9289,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53,48.9,38.7,31.8,68.3,6.1
8,Ohio St.,B10,31,21,114.6,92.6,0.92,52.3,46.2,19.1,18.3,31.1,25.5,36.7,29.3,49.7,44.2,37.3,32.7,66.2,3.8
9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
10,San Diego St.,MWC,31,30,113.8,92.8,0.9119,54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,53,45.3,37.9,30.1,64.7,6.7
11,Villanova,BE,31,24,114,93.7,0.9045,52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,66.2,6.8
12,Houston,Amer,31,23,112.1,92.2,0.9041,48,43.9,17.8,18.2,38.7,25.3,32.9,41.6,46.6,44.5,33.7,28.6,65.7,2.7
13,Arizona,P12,32,21,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8
14,Michigan,B10,31,19,113,93.1,0.9028,52.8,46.9,15.3,16.1,25,25.5,26.7,26.4,54.1,46.3,33.9,32.3,68.6,2.8
15,Penn St.,B10,31,21,111.4,91.9,0.9019,49.5,46.4,15.8,18.6,29.2,27.6,31,31.8,50,45.2,32.5,32.5,70.9,3.4
16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
17,BYU,WCC,31,24,115.9,96,0.8973,58.1,49,15.5,18.2,20.6,24.1,23.4,27.9,54.8,50.8,41.9,30.3,69.4,2.7
18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
19,Wisconsin,B10,31,21,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2
20,Florida St.,ACC,31,26,111.2,92.5,0.8921,51.9,47,18.9,23.7,33.5,30.2,30.1,34.4,51.5,46.6,35.1,31.7,69.9,6.9
21,Seton Hall,BE,30,21,112.2,93.5,0.8913,51.4,45.7,18.6,19.5,29.1,30.4,34.8,32.4,52.3,44.4,33.5,32,69.8,4.6
22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
23,Purdue,B10,31,16,109.6,91.6,0.887,47.8,47.1,17.4,20.4,34.9,27.2,25.8,31.9,46.7,48.1,33,30.5,64.3,-0.6
24,Butler,BE,31,22,112.7,94.6,0.8817,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33,63.7,4.5
25,Providence,BE,31,19,109.3,91.8,0.8812,47.3,47.4,19.3,21.4,33.7,28.4,35.9,37.4,45.9,47.9,33.2,31.1,68.6,0.3
26,Maryland,B10,31,24,112.6,94.7,0.8797,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,67.1,6.8
27,Minnesota,B10,31,15,111.9,94.4,0.8764,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28,48.6,45.4,33.7,30.7,66.8,-1.5
28,Kentucky,SEC,31,25,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1
29,Illinois,B10,30,21,110.9,93.9,0.8719,48.3,47,17.9,16.6,35.6,25.7,32.2,23.9,49.6,45.8,30.3,33,66.3,3
30,Rutgers,B10,30,20,107.5,91,0.8711,48.9,45.1,17.9,18.9,32,25.4,29.1,27.5,50.1,43.8,30.8,31.2,67.3,1.6
31,Iowa,B10,31,20,117.2,99.7,0.8653,51.6,49.4,17.1,17.6,32,29.5,34.4,26.8,51.3,50.3,34.7,32.1,70.1,3.3
32,Florida,SEC,31,19,112.6,95.9,0.864,52.1,47.9,17.8,19.2,31.1,27.4,34,33.7,52.2,47.4,34.7,32.6,64.9,0.2
33,Marquette,BE,30,18,113.9,97.4,0.8581,51.6,46.8,18.9,15.1,30,26,39.2,34.9,46.9,46,38.2,32.2,70.8,1.2
34,Virginia,ACC,30,23,100,85.6,0.8565,46.9,43.1,20.1,19.3,26.4,23.2,26.6,21.6,47.8,42.5,30.3,29.3,59.4,3.8
35,Wichita St.,Amer,31,23,105.2,90.2,0.855,47.1,44.4,17.9,20.1,31.7,24.1,33.7,38.4,45.8,43.9,32.8,30.2,69.4,1.9
36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
38,Utah St.,MWC,32,26,109.4,94.5,0.8435,51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,53.3,44.9,32.9,32.3,67.5,1.2
